t,o,h,l,c
1782847200,30580,30588.25,30574.25,30577.5
1782847500,30577,30584.25,30567.75,30575
1782847800,30575.5,30583.5,30565.75,30569.5
1782848100,30569.5,30572.5,30548.75,30561.25
1782848400,30561.5,30580.75,30559.25,30577.25
1782848700,30577.5,30590,30561.25,30565.5
1782849000,30565.25,30594,30540,30572
1782849300,30572,30592.75,30510,30514
1782849600,30512,30537.75,30505,30531
1782849900,30531.5,30543,30522,30532.5
1782850200,30533.75,30533.75,30503.75,30505.75
1782850500,30505.5,30513.25,30495.5,30503
1782850800,30502.5,30507.75,30494,30505
1782851100,30504.75,30507.75,30502,30504.25
1782851400,30504,30510.5,30499,30500.75
1782851700,30500.5,30502,30491.75,30496
1782852000,30495,30497.5,30492,30496
1782852300,30495.75,30496,30488.5,30491.5
1782852600,30490.75,30495.5,30484.75,30491.25
1782852900,30490.75,30503,30488.25,30500.75
1782856800,30505.75,30525.75,30492.25,30514.5
1782857100,30515.25,30528.5,30515.25,30519.25
1782857400,30520,30520,30500,30516.25
1782857700,30515,30536,30514.5,30529.5
1782858000,30529.75,30535.25,30526.25,30527.75
1782858300,30527,30535,30526.5,30532.75
1782858600,30531.25,30531.5,30512,30515.25
1782858900,30514.5,30519.75,30506.5,30517.25
1782859200,30516.25,30520.5,30514.25,30517
1782859500,30515.25,30516.25,30504.25,30512
1782859800,30512.75,30512.75,30497.5,30502.25
1782860100,30501.5,30512.5,30501,30510
1782860400,30511.5,30525.25,30509.75,30518.75
1782860700,30519.5,30540.25,30515.25,30535.25
1782861000,30534.75,30535,30518.75,30522.5
1782861300,30523.5,30534.5,30517.5,30529.5
1782861600,30529,30535.25,30525.25,30531.25
1782861900,30531.25,30540,30523.25,30526
1782862200,30525.25,30543.5,30522,30541.25
1782862500,30541.75,30542.25,30525.5,30536.75
1782862800,30536.75,30539.5,30526,30528.5
1782863100,30529.5,30543.25,30523.5,30534.75
1782863400,30533,30538,30519,30520.5
1782863700,30521.5,30538.5,30516.25,30534
1782864000,30535.25,30553.75,30522.25,30536.75
1782864300,30534.75,30540,30514.75,30530.25
1782864600,30531.75,30545,30524.25,30528.25
1782864900,30531,30540,30518.5,30519
1782865200,30520.25,30532,30508.75,30515.75
1782865500,30513.75,30540.75,30507,30536.5
1782865800,30536.75,30549.25,30532,30541
1782866100,30541.5,30547,30527.5,30541.75
1782866400,30544,30548.25,30535.25,30538
1782866700,30539.75,30544.75,30533,30543.25
1782867000,30542.75,30547,30530,30530.75
1782867300,30531.25,30537,30523.75,30524
1782867600,30523.75,30530.25,30510,30510
1782867900,30509.75,30518.5,30496.25,30501.5
1782868200,30501.75,30502,30471.75,30497.25
1782868500,30500,30506.75,30466.75,30484.75
1782868800,30483.5,30498,30476,30485.75
1782869100,30485,30495.25,30478.5,30486
1782869400,30486.5,30504,30470.75,30476.25
1782869700,30477,30486.5,30468,30480.25
1782870000,30479,30484.25,30469.5,30474.75
1782870300,30474.75,30483,30456,30464.25
1782870600,30464.25,30467,30452,30463.25
1782870900,30462,30479.25,30450.5,30453.5
1782871200,30453.5,30456.25,30428.75,30430.25
1782871500,30430.5,30430.5,30395.75,30406.5
1782871800,30405.25,30413.5,30386.5,30392.75
1782872100,30392.5,30409.5,30367.75,30405
1782872400,30405.25,30417.25,30394,30409.75
1782872700,30410.75,30423,30403.25,30421
1782873000,30421.25,30428,30408.25,30408.25
1782873300,30410,30423.25,30409.25,30420.5
1782873600,30419.5,30446,30417,30440
1782873900,30440.75,30442.25,30428.75,30435.75
1782874200,30433.5,30439.25,30424.75,30437.5
1782874500,30437.75,30442.5,30434.5,30438.5
1782874800,30438.5,30448.25,30432.75,30437.25
1782875100,30439.75,30455.25,30438,30453.25
1782875400,30453.75,30465,30450.75,30462.25
1782875700,30461.75,30466,30435.75,30447.25
1782876000,30447.5,30448,30431.75,30435
1782876300,30434.75,30445.5,30429.5,30437.25
1782876600,30439.5,30448,30431.75,30442.25
1782876900,30443.75,30465.75,30443.75,30464.75
1782877200,30463,30468,30446,30448.75
1782877500,30450.25,30469.75,30449.75,30468
1782877800,30468.75,30477.75,30467.75,30470
1782878100,30469.75,30470,30461,30466.75
1782878700,30452.25,30453.25,30449.25,30451
1782879000,30451,30454.5,30433.25,30437
1782879300,30436.5,30441.75,30431,30436
1782879600,30435.5,30453.5,30429,30442.5
1782879900,30442.5,30456,30439,30451
1782880200,30452.25,30456.75,30449.25,30454.25
1782880500,30453.75,30453.75,30432.75,30440
1782880800,30439.75,30460.75,30438,30451.25
